MSSV,HoVaTen,NgaySinh,Email,SDT,MaLop
SV02426,Tran Duc Linh,17/06/2003,tranduclinh.sv02426@school.edu.vn,0327742309,L049
SV02427,Le Thi Quyen,13/05/2002,lethiquyen.sv02427@school.edu.vn,0987383093,L049
SV02428,Vo Minh Mai,17/06/2005,vominhmai.sv02428@school.edu.vn,0910825362,L049
SV02429,Do Van Cuong,13/02/2004,dovancuong.sv02429@school.edu.vn,0636610994,L049
SV02430,Phan Huu An,27/03/2003,phanhuuan.sv02430@school.edu.vn,0954623541,L049
SV02431,Dang Huu Phuc,07/09/2003,danghuuphuc.sv02431@school.edu.vn,0715814093,L049
SV02432,Ho Minh Yen,05/02/2005,hominhyen.sv02432@school.edu.vn,0647206352,L049
SV02433,Dinh Minh Yen,01/06/2002,dinhminhyen.sv02433@school.edu.vn,0642734718,L049
SV02434,Le Gia Binh,28/02/2003,legiabinh.sv02434@school.edu.vn,0569743132,L049
SV02435,Do Thi Tuan,15/04/2002,dothituan.sv02435@school.edu.vn,0335300170,L049
SV02436,Hoang Thanh Son,23/10/2004,hoangthanhson.sv02436@school.edu.vn,0389357647,L049
SV02437,Duong Thi Lan,25/09/2002,duongthilan.sv02437@school.edu.vn,0886447640,L049
SV02438,Duong Duc Thy,25/05/2004,duongducthy.sv02438@school.edu.vn,0517827271,L049
SV02439,Do Gia Lan,04/02/2003,dogialan.sv02439@school.edu.vn,0811589281,L049
SV02440,Ho Van Em,02/08/2005,hovanem.sv02440@school.edu.vn,0557119261,L049
SV02441,Le Ngoc Mai,15/08/2004,lengocmai.sv02441@school.edu.vn,0871523958,L049
SV02442,Nguyen Kim Vinh,01/01/2004,nguyenkimvinh.sv02442@school.edu.vn,0356536299,L049
SV02443,Pham Kim Nhu,16/05/2005,phamkimnhu.sv02443@school.edu.vn,0418899522,L049
SV02444,Hoang Van Dung,09/05/2004,hoangvandung.sv02444@school.edu.vn,0883568874,L049
SV02445,Pham Van Hung,04/04/2004,phamvanhung.sv02445@school.edu.vn,0590221751,L049
SV02446,Nguyen Duc Lan,15/12/2004,nguyenduclan.sv02446@school.edu.vn,0398621745,L049
SV02447,Pham Kim Ha,09/10/2004,phamkimha.sv02447@school.edu.vn,0398496057,L049
SV02448,Nguyen Thanh Son,18/04/2002,nguyenthanhson.sv02448@school.edu.vn,0727356035,L049
SV02449,Nguyen Huu Son,28/12/2003,nguyenhuuson.sv02449@school.edu.vn,0941846949,L049
SV02450,Ho Duc Binh,14/07/2004,hoducbinh.sv02450@school.edu.vn,0792633143,L050
SV02451,Vu Van Long,15/08/2004,vuvanlong.sv02451@school.edu.vn,0895679912,L050
SV02452,Dang Huu Tuan,14/02/2004,danghuutuan.sv02452@school.edu.vn,0612140497,L050
SV02453,Hoang Van Em,06/06/2002,hoangvanem.sv02453@school.edu.vn,0562596228,L050
SV02454,Truong Duc Phuc,26/11/2003,truongducphuc.sv02454@school.edu.vn,0615159626,L050
SV02455,Bui Kim Tuan,10/12/2002,buikimtuan.sv02455@school.edu.vn,0384608472,L050
SV02456,Tran Ngoc Cuong,16/11/2004,tranngoccuong.sv02456@school.edu.vn,0882467195,L050
SV02457,Pham Thi Hoa,10/08/2005,phamthihoa.sv02457@school.edu.vn,0946085673,L050
SV02458,Dinh Van Em,02/02/2004,dinhvanem.sv02458@school.edu.vn,0773182646,L050
SV02459,Tran Thanh Thy,22/06/2004,tranthanhthy.sv02459@school.edu.vn,0666348209,L050
SV02460,Tran Minh Quyen,21/02/2004,tranminhquyen.sv02460@school.edu.vn,0428364626,L050
SV02461,Do Gia Lan,28/02/2004,dogialan.sv02461@school.edu.vn,0611356741,L050
SV02462,Dinh Quang Nhu,16/06/2004,dinhquangnhu.sv02462@school.edu.vn,0576540855,L050
SV02463,Ho Ngoc Xuan,15/11/2004,hongocxuan.sv02463@school.edu.vn,0391872774,L050
SV02464,Ho Van Son,11/10/2004,hovanson.sv02464@school.edu.vn,0836055298,L050
SV02465,Pham Huu Lan,19/01/2003,phamhuulan.sv02465@school.edu.vn,0454883165,L050
SV02466,Dinh Ngoc Mai,07/01/2003,dinhngocmai.sv02466@school.edu.vn,0485865344,L050
SV02467,Ho Huu Ha,25/05/2003,hohuuha.sv02467@school.edu.vn,0764199715,L050
SV02468,Vu Kim Oanh,05/03/2004,vukimoanh.sv02468@school.edu.vn,0794991687,L050
SV02469,Mai Thi Thy,22/11/2005,maithithy.sv02469@school.edu.vn,0350185107,L050
SV02470,Hoang Duc Oanh,21/12/2005,hoangducoanh.sv02470@school.edu.vn,0536863192,L050
SV02471,Ho Van Quyen,05/04/2002,hovanquyen.sv02471@school.edu.vn,0459101527,L050
SV02472,Mai Thi Quyen,28/04/2004,maithiquyen.sv02472@school.edu.vn,0844599418,L050
SV02473,Duong Minh Son,23/09/2004,duongminhson.sv02473@school.edu.vn,0486330845,L050
SV02474,Ngo Kim Lan,10/06/2002,ngokimlan.sv02474@school.edu.vn,0841963275,L050
SV02475,Ho Thanh Long,02/03/2005,hothanhlong.sv02475@school.edu.vn,0379157415,L050
SV02476,Dang Quang Khanh,19/11/2004,dangquangkhanh.sv02476@school.edu.vn,0448033734,L050
SV02477,Vu Thi Nam,18/03/2004,vuthinam.sv02477@school.edu.vn,0634982873,L050
SV02478,Luu Duc Lan,25/02/2004,luuduclan.sv02478@school.edu.vn,0638982081,L050
SV02479,Le Kim Bao,10/03/2003,lekimbao.sv02479@school.edu.vn,0910866199,L050
SV02480,Ngo Huu Cuong,12/10/2005,ngohuucuong.sv02480@school.edu.vn,0939760831,L050
SV02481,Duong Duc Xuan,17/05/2002,duongducxuan.sv02481@school.edu.vn,0856546118,L050
SV02482,Pham Gia Ha,13/10/2002,phamgiaha.sv02482@school.edu.vn,0322991819,L050
SV02483,Ho Huu Nhu,24/01/2004,hohuunhu.sv02483@school.edu.vn,0474282740,L050
SV02484,Luu Duc Xuan,06/05/2005,luuducxuan.sv02484@school.edu.vn,0463069070,L050
SV02485,Duong Gia An,09/01/2003,duonggiaan.sv02485@school.edu.vn,0748843816,L050
SV02486,Nguyen Huu Quyen,26/07/2005,nguyenhuuquyen.sv02486@school.edu.vn,0361974657,L050
SV02487,Truong Van Hoa,20/01/2005,truongvanhoa.sv02487@school.edu.vn,0923345587,L050
SV02488,Pham Ngoc Ha,18/07/2002,phamngocha.sv02488@school.edu.vn,0736839913,L050
SV02489,Mai Minh Nam,23/07/2005,maiminhnam.sv02489@school.edu.vn,0835758372,L050
SV02490,Dinh Van Phuc,24/07/2004,dinhvanphuc.sv02490@school.edu.vn,0665904365,L050
SV02491,Dinh Minh Em,21/02/2002,dinhminhem.sv02491@school.edu.vn,0611994311,L050
SV02492,Tran Thi Giang,12/06/2004,tranthigiang.sv02492@school.edu.vn,0925168165,L050
SV02493,Phan Kim Em,24/07/2004,phankimem.sv02493@school.edu.vn,0863679230,L050
SV02494,Do Gia Cuong,22/10/2004,dogiacuong.sv02494@school.edu.vn,0422389070,L050
SV02495,Phan Van Em,10/03/2002,phanvanem.sv02495@school.edu.vn,0742312042,L050
SV02496,Truong Duc Uyen,22/04/2004,truongducuyen.sv02496@school.edu.vn,0470664608,L050
SV02497,Ho Huu Thy,04/03/2003,hohuuthy.sv02497@school.edu.vn,0560673013,L050
SV02498,Ly Van Bao,16/11/2003,lyvanbao.sv02498@school.edu.vn,0989614837,L050
SV02499,Ho Ngoc Cuong,17/11/2004,hongoccuong.sv02499@school.edu.vn,0597424837,L050
SV02500,Ly Thi An,18/10/2005,lythian.sv02500@school.edu.vn,0724151346,L051
SV02501,Bui Thanh Oanh,24/08/2005,buithanhoanh.sv02501@school.edu.vn,0446964236,L051
SV02502,Ho Van Quyen,24/11/2005,hovanquyen.sv02502@school.edu.vn,0578398759,L051
SV02503,Vu Thanh Long,14/08/2003,vuthanhlong.sv02503@school.edu.vn,0839826283,L051
SV02504,Nguyen Duc Giang,04/07/2005,nguyenducgiang.sv02504@school.edu.vn,0474620604,L051
SV02505,Pham Kim Son,11/09/2005,phamkimson.sv02505@school.edu.vn,0784435118,L051
SV02506,Mai Huu Truc,09/05/2002,maihuutruc.sv02506@school.edu.vn,0494629008,L051
SV02507,Mai Thanh Cuong,01/11/2004,maithanhcuong.sv02507@school.edu.vn,0763514279,L051
SV02508,Pham Gia Oanh,14/04/2003,phamgiaoanh.sv02508@school.edu.vn,0761869451,L051
SV02509,Do Gia Dung,20/11/2004,dogiadung.sv02509@school.edu.vn,0980305165,L051
SV02510,Dang Duc Bao,04/12/2003,dangducbao.sv02510@school.edu.vn,0958144552,L051
SV02511,Phan Thi Nam,20/09/2005,phanthinam.sv02511@school.edu.vn,0392718565,L051
SV02512,Bui Minh Quyen,08/06/2005,buiminhquyen.sv02512@school.edu.vn,0974013805,L051
SV02513,Tran Van Hung,12/01/2002,tranvanhung.sv02513@school.edu.vn,0494430121,L051
SV02514,Dinh Huu Truc,13/10/2004,dinhhuutruc.sv02514@school.edu.vn,0612382722,L051
SV02515,Vo Duc Yen,15/06/2002,voducyen.sv02515@school.edu.vn,0736886678,L051
SV02516,Le Thi Son,20/03/2005,lethison.sv02516@school.edu.vn,0738035576,L051
SV02517,Bui Thi Linh,14/08/2002,buithilinh.sv02517@school.edu.vn,0447495179,L051
SV02518,Ngo Kim Hoa,03/09/2003,ngokimhoa.sv02518@school.edu.vn,0660542138,L051
SV02519,Vo Huu Truc,01/08/2002,vohuutruc.sv02519@school.edu.vn,0467233213,L051
SV02520,Ho Kim Thy,11/02/2004,hokimthy.sv02520@school.edu.vn,0786879731,L051
SV02521,Le Gia Oanh,26/03/2004,legiaoanh.sv02521@school.edu.vn,0764649914,L051
SV02522,Vo Quang Phuong,27/05/2003,voquangphuong.sv02522@school.edu.vn,0821104256,L051
SV02523,Mai Huu Khanh,02/08/2002,maihuukhanh.sv02523@school.edu.vn,0931006536,L051
SV02524,Bui Duc Mai,01/10/2003,buiducmai.sv02524@school.edu.vn,0896966287,L051
SV02525,Pham Thanh Oanh,21/07/2004,phamthanhoanh.sv02525@school.edu.vn,0938854562,L051
SV02526,Ngo Minh Bao,18/02/2002,ngominhbao.sv02526@school.edu.vn,0738193210,L051
SV02527,Luu Quang Khanh,08/07/2002,luuquangkhanh.sv02527@school.edu.vn,0618781877,L051
SV02528,Pham Quang Trang,23/09/2004,phamquangtrang.sv02528@school.edu.vn,0396231851,L051
SV02529,Duong Duc Uyen,02/04/2002,duongducuyen.sv02529@school.edu.vn,0935604448,L051
SV02530,Phan Minh Uyen,12/06/2002,phanminhuyen.sv02530@school.edu.vn,0793724923,L051
SV02531,Luu Van Linh,03/07/2005,luuvanlinh.sv02531@school.edu.vn,0593022360,L051
SV02532,Do Kim Bao,15/01/2005,dokimbao.sv02532@school.edu.vn,0669802579,L051
SV02533,Nguyen Quang Uyen,25/12/2005,nguyenquanguyen.sv02533@school.edu.vn,0619879883,L051
SV02534,Phan Quang Yen,04/05/2002,phanquangyen.sv02534@school.edu.vn,0995645624,L051
SV02535,Ho Thanh Khanh,10/01/2005,hothanhkhanh.sv02535@school.edu.vn,0628907217,L051
SV02536,Dinh Huu Nhu,26/09/2005,dinhhuunhu.sv02536@school.edu.vn,0463024622,L051
SV02537,Vu Huu Khanh,24/08/2002,vuhuukhanh.sv02537@school.edu.vn,0313359496,L051
SV02538,Do Thanh Bao,22/06/2002,dothanhbao.sv02538@school.edu.vn,0784838701,L051
SV02539,Ho Kim Em,07/04/2003,hokimem.sv02539@school.edu.vn,0656973848,L051
SV02540,Do Thanh Truc,27/07/2003,dothanhtruc.sv02540@school.edu.vn,0593583392,L051
SV02541,Ly Minh Ha,06/07/2005,lyminhha.sv02541@school.edu.vn,0890976716,L051
SV02542,Ngo Ngoc Nam,01/06/2004,ngongocnam.sv02542@school.edu.vn,0748066074,L051
SV02543,Luu Thi Trang,11/04/2005,luuthitrang.sv02543@school.edu.vn,0491531421,L051
SV02544,Nguyen Van Dung,21/03/2005,nguyenvandung.sv02544@school.edu.vn,0665963387,L051
SV02545,Do Gia Dung,26/02/2004,dogiadung.sv02545@school.edu.vn,0965756210,L051
SV02546,Truong Duc Quyen,21/10/2003,truongducquyen.sv02546@school.edu.vn,0363915993,L051
SV02547,Le Van Hung,09/04/2003,levanhung.sv02547@school.edu.vn,0812888891,L051
SV02548,Ho Ngoc Phuong,05/05/2003,hongocphuong.sv02548@school.edu.vn,0592898230,L051
SV02549,Pham Duc Uyen,28/08/2004,phamducuyen.sv02549@school.edu.vn,0596242255,L051
SV02550,Vo Thi Yen,26/03/2004,vothiyen.sv02550@school.edu.vn,0398310495,L052
SV02551,Nguyen Huu Yen,03/10/2003,nguyenhuuyen.sv02551@school.edu.vn,0316470000,L052
SV02552,Phan Thanh Dung,02/04/2005,phanthanhdung.sv02552@school.edu.vn,0637683213,L052
SV02553,Nguyen Kim Yen,11/07/2005,nguyenkimyen.sv02553@school.edu.vn,0796153266,L052
SV02554,Ly Quang Thy,01/12/2003,lyquangthy.sv02554@school.edu.vn,0640709377,L052
SV02555,Ngo Duc Dung,06/06/2003,ngoducdung.sv02555@school.edu.vn,0659567638,L052
SV02556,Ho Ngoc Tuan,02/08/2004,hongoctuan.sv02556@school.edu.vn,0421026511,L052
SV02557,Do Van Vinh,14/04/2003,dovanvinh.sv02557@school.edu.vn,0772614392,L052
SV02558,Ho Thi Mai,04/09/2005,hothimai.sv02558@school.edu.vn,0855142076,L052
SV02559,Ly Quang Vinh,21/07/2004,lyquangvinh.sv02559@school.edu.vn,0530969509,L052
SV02560,Vo Quang Oanh,01/01/2004,voquangoanh.sv02560@school.edu.vn,0314531466,L052
SV02561,Le Quang Oanh,24/11/2003,lequangoanh.sv02561@school.edu.vn,0937880523,L052
SV02562,Mai Huu Giang,11/01/2005,maihuugiang.sv02562@school.edu.vn,0840746759,L052
SV02563,Bui Huu Phuong,19/09/2003,buihuuphuong.sv02563@school.edu.vn,0933545944,L052
SV02564,Hoang Thi Khanh,17/02/2004,hoangthikhanh.sv02564@school.edu.vn,0719763051,L052
SV02565,Truong Duc An,14/04/2005,truongducan.sv02565@school.edu.vn,0911627245,L052
SV02566,Do Thanh Quyen,06/12/2004,dothanhquyen.sv02566@school.edu.vn,0754555275,L052
SV02567,Vu Quang Son,13/05/2005,vuquangson.sv02567@school.edu.vn,0650048608,L052
SV02568,Nguyen Kim Xuan,04/05/2004,nguyenkimxuan.sv02568@school.edu.vn,0431483961,L052
SV02569,Vu Thanh Lan,09/10/2003,vuthanhlan.sv02569@school.edu.vn,0812300693,L052
SV02570,Dinh Thanh Phuong,03/01/2004,dinhthanhphuong.sv02570@school.edu.vn,0545767819,L052
SV02571,Vu Ngoc Nam,24/01/2005,vungocnam.sv02571@school.edu.vn,0467879477,L052
SV02572,Hoang Duc Hoa,26/03/2004,hoangduchoa.sv02572@school.edu.vn,0439050853,L052
SV02573,Bui Thi Tuan,11/11/2003,buithituan.sv02573@school.edu.vn,0897553160,L052
SV02574,Luu Thanh Son,03/02/2004,luuthanhson.sv02574@school.edu.vn,0647756276,L052
SV02575,Vu Van Lan,06/06/2002,vuvanlan.sv02575@school.edu.vn,0561184700,L052
SV02576,Ngo Quang Thy,14/01/2004,ngoquangthy.sv02576@school.edu.vn,0876726397,L052
SV02577,Vo Thanh Phuong,11/01/2004,vothanhphuong.sv02577@school.edu.vn,0560550841,L052
SV02578,Do Kim Oanh,09/10/2005,dokimoanh.sv02578@school.edu.vn,0886997943,L052
SV02579,Dinh Van Giang,24/12/2003,dinhvangiang.sv02579@school.edu.vn,0667191833,L052
SV02580,Vo Minh Ha,19/03/2004,vominhha.sv02580@school.edu.vn,0382674391,L052
SV02581,Luu Kim Thy,24/07/2002,luukimthy.sv02581@school.edu.vn,0810866107,L052
SV02582,Tran Kim Oanh,13/12/2004,trankimoanh.sv02582@school.edu.vn,0336175476,L052
SV02583,Bui Gia Mai,22/07/2002,buigiamai.sv02583@school.edu.vn,0516585979,L052
SV02584,Luu Gia Thy,18/11/2003,luugiathy.sv02584@school.edu.vn,0466411331,L052
SV02585,Ho Gia Yen,21/03/2004,hogiayen.sv02585@school.edu.vn,0499300964,L052
SV02586,Vu Kim Son,15/11/2004,vukimson.sv02586@school.edu.vn,0737242832,L052
SV02587,Luu Quang Em,18/11/2002,luuquangem.sv02587@school.edu.vn,0615457024,L052
SV02588,Nguyen Huu Linh,10/07/2003,nguyenhuulinh.sv02588@school.edu.vn,0352904371,L052
SV02589,Le Quang Dung,26/05/2002,lequangdung.sv02589@school.edu.vn,0691302976,L052
SV02590,Ngo Thi Dung,18/05/2003,ngothidung.sv02590@school.edu.vn,0347734344,L052
SV02591,Phan Quang Lan,07/07/2005,phanquanglan.sv02591@school.edu.vn,0822928117,L052
SV02592,Tran Kim Trang,12/03/2004,trankimtrang.sv02592@school.edu.vn,0835758770,L052
SV02593,Phan Duc Nam,11/07/2002,phanducnam.sv02593@school.edu.vn,0597199431,L052
SV02594,Tran Van Phuc,28/11/2005,tranvanphuc.sv02594@school.edu.vn,0457229113,L052
SV02595,Nguyen Gia Oanh,05/03/2005,nguyengiaoanh.sv02595@school.edu.vn,0365389476,L052
SV02596,Mai Gia Nhu,18/08/2005,maigianhu.sv02596@school.edu.vn,0624243702,L052
SV02597,Nguyen Huu Hoa,16/11/2004,nguyenhuuhoa.sv02597@school.edu.vn,0690350221,L052
SV02598,Truong Ngoc Ha,25/09/2003,truongngocha.sv02598@school.edu.vn,0536918643,L052
SV02599,Vo Quang An,24/01/2004,voquangan.sv02599@school.edu.vn,0818928911,L052
SV02600,Pham Minh Tuan,13/02/2002,phamminhtuan.sv02600@school.edu.vn,0945898125,L053
SV02601,Le Gia Oanh,14/03/2004,legiaoanh.sv02601@school.edu.vn,0852045636,L053
SV02602,Dang Duc Giang,19/08/2005,dangducgiang.sv02602@school.edu.vn,0684903828,L053
SV02603,Vo Kim Phuong,15/11/2003,vokimphuong.sv02603@school.edu.vn,0453599421,L053
SV02604,Ngo Minh Hoa,09/12/2004,ngominhhoa.sv02604@school.edu.vn,0918049007,L053
SV02605,Mai Huu Quyen,03/09/2004,maihuuquyen.sv02605@school.edu.vn,0626948141,L053
SV02606,Pham Kim Dung,10/11/2002,phamkimdung.sv02606@school.edu.vn,0620810286,L053
SV02607,Nguyen Duc Phuong,25/10/2002,nguyenducphuong.sv02607@school.edu.vn,0856320124,L053
SV02608,Nguyen Gia Xuan,07/10/2004,nguyengiaxuan.sv02608@school.edu.vn,0959435456,L053
SV02609,Hoang Gia Hung,02/03/2005,hoanggiahung.sv02609@school.edu.vn,0671388730,L053
SV02610,Tran Gia Thy,20/01/2003,trangiathy.sv02610@school.edu.vn,0693284757,L053
SV02611,Vu Gia Lan,15/08/2002,vugialan.sv02611@school.edu.vn,0888429986,L053
SV02612,Nguyen Minh Uyen,08/09/2003,nguyenminhuyen.sv02612@school.edu.vn,0934686066,L053
SV02613,Luu Minh Khanh,01/12/2005,luuminhkhanh.sv02613@school.edu.vn,0474200712,L053
SV02614,Vu Huu Giang,27/06/2005,vuhuugiang.sv02614@school.edu.vn,0443387014,L053
SV02615,Ly Duc Lan,04/09/2005,lyduclan.sv02615@school.edu.vn,0550532923,L053
SV02616,Ngo Gia Khanh,20/02/2005,ngogiakhanh.sv02616@school.edu.vn,0347880224,L053
SV02617,Phan Thi Uyen,02/11/2003,phanthiuyen.sv02617@school.edu.vn,0966793669,L053
SV02618,Duong Quang Thy,09/05/2004,duongquangthy.sv02618@school.edu.vn,0682978089,L053
SV02619,Vu Quang Khanh,25/10/2003,vuquangkhanh.sv02619@school.edu.vn,0765598512,L053
SV02620,Vu Huu Nhu,22/02/2003,vuhuunhu.sv02620@school.edu.vn,0664127667,L053
SV02621,Le Gia An,06/01/2002,legiaan.sv02621@school.edu.vn,0828400227,L053
SV02622,Tran Van Quyen,28/03/2003,tranvanquyen.sv02622@school.edu.vn,0474630214,L053
SV02623,Ly Van Tuan,27/12/2004,lyvantuan.sv02623@school.edu.vn,0578037504,L053
SV02624,Do Thanh Quyen,08/06/2003,dothanhquyen.sv02624@school.edu.vn,0581835867,L053
SV02625,Luu Quang Giang,13/04/2005,luuquanggiang.sv02625@school.edu.vn,0358864607,L053
SV02626,Vo Gia Lan,27/06/2005,vogialan.sv02626@school.edu.vn,0646540461,L053
SV02627,Dang Quang Lan,28/09/2002,dangquanglan.sv02627@school.edu.vn,0334368565,L053
SV02628,Truong Huu Khanh,26/01/2004,truonghuukhanh.sv02628@school.edu.vn,0986680595,L053
SV02629,Pham Van Long,21/02/2004,phamvanlong.sv02629@school.edu.vn,0359600088,L053
SV02630,Nguyen Huu Yen,04/09/2002,nguyenhuuyen.sv02630@school.edu.vn,0454404314,L053
SV02631,Ly Ngoc Hoa,09/09/2003,lyngochoa.sv02631@school.edu.vn,0612523174,L053
SV02632,Mai Minh Xuan,08/01/2003,maiminhxuan.sv02632@school.edu.vn,0655010280,L053
SV02633,Nguyen Duc Hoa,06/04/2002,nguyenduchoa.sv02633@school.edu.vn,0460779917,L053
SV02634,Ly Duc Nam,02/04/2003,lyducnam.sv02634@school.edu.vn,0944709550,L053
SV02635,Phan Thi Hoa,09/09/2004,phanthihoa.sv02635@school.edu.vn,0854855756,L053
SV02636,Le Duc Dung,01/11/2004,leducdung.sv02636@school.edu.vn,0580906043,L053
SV02637,Vu Ngoc Nhu,27/06/2003,vungocnhu.sv02637@school.edu.vn,0447780096,L053
SV02638,Truong Quang Nhu,28/04/2005,truongquangnhu.sv02638@school.edu.vn,0496457580,L053
SV02639,Do Quang Ha,21/08/2005,doquangha.sv02639@school.edu.vn,0467445684,L053
SV02640,Ho Gia Hung,11/12/2005,hogiahung.sv02640@school.edu.vn,0383862622,L053
SV02641,Pham Huu Oanh,20/05/2005,phamhuuoanh.sv02641@school.edu.vn,0383773953,L053
SV02642,Mai Gia Oanh,11/01/2002,maigiaoanh.sv02642@school.edu.vn,0670917613,L053
SV02643,Nguyen Minh Vinh,26/07/2004,nguyenminhvinh.sv02643@school.edu.vn,0972241209,L053
SV02644,Le Van Yen,28/03/2002,levanyen.sv02644@school.edu.vn,0747412160,L053
SV02645,Vu Minh Uyen,12/08/2003,vuminhuyen.sv02645@school.edu.vn,0886225638,L053
SV02646,Le Duc Oanh,01/08/2004,leducoanh.sv02646@school.edu.vn,0479594592,L053
SV02647,Dang Van Hung,09/10/2005,dangvanhung.sv02647@school.edu.vn,0325837160,L053
SV02648,Ho Ngoc Hoa,25/01/2003,hongochoa.sv02648@school.edu.vn,0313391021,L053
SV02649,Vu Minh Uyen,02/02/2004,vuminhuyen.sv02649@school.edu.vn,0545612325,L053
SV02650,Nguyen Gia Vinh,20/10/2005,nguyengiavinh.sv02650@school.edu.vn,0447561035,L054
SV02651,Duong Huu Hung,18/10/2002,duonghuuhung.sv02651@school.edu.vn,0768168583,L054
SV02652,Nguyen Gia Vinh,26/12/2004,nguyengiavinh.sv02652@school.edu.vn,0746671533,L054
SV02653,Dinh Thi Binh,20/06/2003,dinhthibinh.sv02653@school.edu.vn,0466519128,L054
SV02654,Tran Kim Hoa,07/05/2004,trankimhoa.sv02654@school.edu.vn,0626405288,L054
SV02655,Mai Kim Yen,18/01/2004,maikimyen.sv02655@school.edu.vn,0726816496,L054
SV02656,Ly Duc Em,21/11/2003,lyducem.sv02656@school.edu.vn,0960728094,L054
SV02657,Tran Quang Mai,24/09/2002,tranquangmai.sv02657@school.edu.vn,0911176377,L054
SV02658,Bui Duc Long,22/08/2003,buiduclong.sv02658@school.edu.vn,0649335135,L054
SV02659,Do Huu Cuong,07/08/2004,dohuucuong.sv02659@school.edu.vn,0544060355,L054
SV02660,Duong Thanh Yen,25/08/2005,duongthanhyen.sv02660@school.edu.vn,0414192971,L054
SV02661,Pham Ngoc Khanh,24/10/2005,phamngockhanh.sv02661@school.edu.vn,0646146427,L054
SV02662,Nguyen Quang Xuan,04/02/2004,nguyenquangxuan.sv02662@school.edu.vn,0819774591,L054
SV02663,Le Duc Ha,21/02/2004,leducha.sv02663@school.edu.vn,0577450100,L054
SV02664,Tran Quang Truc,19/05/2003,tranquangtruc.sv02664@school.edu.vn,0613522782,L054
SV02665,Ly Gia Linh,07/11/2005,lygialinh.sv02665@school.edu.vn,0332302388,L054
SV02666,Vo Thi Vinh,10/05/2004,vothivinh.sv02666@school.edu.vn,0443966090,L054
SV02667,Dinh Thi Ha,07/02/2003,dinhthiha.sv02667@school.edu.vn,0762072677,L054
SV02668,Le Minh Hoa,03/07/2004,leminhhoa.sv02668@school.edu.vn,0782593230,L054
SV02669,Hoang Thanh Khanh,27/02/2004,hoangthanhkhanh.sv02669@school.edu.vn,0615591167,L054
SV02670,Ly Minh Phuong,20/02/2005,lyminhphuong.sv02670@school.edu.vn,0727027788,L054
SV02671,Nguyen Thi Oanh,21/09/2002,nguyenthioanh.sv02671@school.edu.vn,0453222032,L054
SV02672,Hoang Huu Khanh,07/09/2003,hoanghuukhanh.sv02672@school.edu.vn,0957145236,L054
SV02673,Nguyen Quang Binh,22/09/2004,nguyenquangbinh.sv02673@school.edu.vn,0993511535,L054
SV02674,Mai Thi Cuong,07/01/2003,maithicuong.sv02674@school.edu.vn,0370064860,L054
SV02675,Dang Quang Vinh,08/03/2004,dangquangvinh.sv02675@school.edu.vn,0944017897,L054
SV02676,Pham Ngoc Nhu,17/01/2003,phamngocnhu.sv02676@school.edu.vn,0665239220,L054
SV02677,Mai Minh Dung,08/12/2002,maiminhdung.sv02677@school.edu.vn,0932457841,L054
SV02678,Ho Minh Truc,16/06/2004,hominhtruc.sv02678@school.edu.vn,0467563555,L054
SV02679,Pham Thi Tuan,11/05/2005,phamthituan.sv02679@school.edu.vn,0862107999,L054
SV02680,Pham Kim Cuong,14/11/2003,phamkimcuong.sv02680@school.edu.vn,0429156647,L054
SV02681,Vo Gia Quyen,09/01/2004,vogiaquyen.sv02681@school.edu.vn,0814658769,L054
SV02682,Le Thanh Phuc,18/09/2005,lethanhphuc.sv02682@school.edu.vn,0623929440,L054
SV02683,Ngo Duc Phuong,20/11/2003,ngoducphuong.sv02683@school.edu.vn,0873984995,L054
SV02684,Ho Van Ha,15/11/2003,hovanha.sv02684@school.edu.vn,0457510981,L054
SV02685,Mai Quang Dung,13/01/2002,maiquangdung.sv02685@school.edu.vn,0724169529,L054
SV02686,Truong Gia Xuan,04/03/2003,truonggiaxuan.sv02686@school.edu.vn,0525982236,L054
SV02687,Duong Gia An,06/01/2004,duonggiaan.sv02687@school.edu.vn,0860832054,L054
SV02688,Dang Minh Yen,23/12/2003,dangminhyen.sv02688@school.edu.vn,0586661407,L054
SV02689,Bui Van Nhu,02/09/2004,buivannhu.sv02689@school.edu.vn,0380037745,L054
SV02690,Le Van Nam,07/05/2004,levannam.sv02690@school.edu.vn,0561280351,L054
SV02691,Vu Quang Phuc,13/04/2003,vuquangphuc.sv02691@school.edu.vn,0495655700,L054
SV02692,Hoang Van Nam,13/05/2002,hoangvannam.sv02692@school.edu.vn,0447646511,L054
SV02693,Ngo Duc Phuong,27/08/2003,ngoducphuong.sv02693@school.edu.vn,0375121027,L054
SV02694,Vu Thanh Ha,06/10/2003,vuthanhha.sv02694@school.edu.vn,0849148050,L054
SV02695,Hoang Van Lan,08/08/2005,hoangvanlan.sv02695@school.edu.vn,0861287971,L054
SV02696,Truong Van Nam,21/12/2002,truongvannam.sv02696@school.edu.vn,0924196342,L054
SV02697,Mai Thi Ha,14/10/2003,maithiha.sv02697@school.edu.vn,0569877973,L054
SV02698,Pham Quang Bao,19/12/2004,phamquangbao.sv02698@school.edu.vn,0617682896,L054
SV02699,Truong Minh Truc,14/10/2002,truongminhtruc.sv02699@school.edu.vn,0446477226,L054
SV02700,Ho Duc Son,26/01/2004,hoducson.sv02700@school.edu.vn,0826201423,L055
